Coluna;IBGE Setor
Município-Minas Gerais;1 - Extrativa mineral;2 - Indústria de transformação;3 - Servicos industriais de utilidade pública;4 - Construção Civil;5 - Comércio;6 - Serviços;7 - Administração Pública;8 - Agropecuária, extração vegetal, caça e pesca;Total
310010:MG-ABADIA DOS DOURADOS;53280,339999998;581656,329999984;2869,05000000075;182640,580000009;458633,920000004;730566,210000014;672027,590000005;287939,669999999;2969613,69000001
310020:MG-ABAETE;14592,9499999993;982163,489999996;0;147698,580000008;1502059,98999999;1524107,20999995;1274236,81000005;743117,160000008;6187976,19
310030:MG-ABRE CAMPO;20586,4800000023;125641,230000015;60051,7099999906;48593,7299999958;535443,490000007;983083,530000009;607619,530000003;241778,490000001;2622798,19000002
310040:MG-ACAIACA;65828,8299999889;30110,6899999976;0;3703,70000000112;59294,5199999977;74398,5399999944;428799,110000015;49444,459999999;711579,849999994
310050:MG-ACUCENA;0;7255,29000000097;0;1329,18999999948;86048,9399999958;42707,2899999991;493491,970000014;103902,269999999;734734,950000008
310060:MG-AGUA BOA;0;5988;0;12590,0999999996;220296,950000002;171656,480000011;650007,799999952;211909,699999993;1272449,02999996
310070:MG-AGUA COMPRIDA;16716,2400000002;5493,8200000003;0;0;17380,9000000032;28296,8000000026;524716,359999998;424379,420000002;1016983,54000001
310080:MG-AGUANIL;0;227731,999999994;0;21753,0999999959;71529,0699999975;123326,229999995;2455,33999999985;167190,669999993;613986,409999976
310090:MG-AGUAS FORMOSAS;0;282564,659999996;0;4623,05000000075;498760,000000007;848277,389999954;1292159,38000001;166950,369999999;3093334,84999996
310100:MG-AGUAS VERMELHAS;4214,44999999925;21165,2399999993;0;6424;402018,469999989;230756,380000002;668506,299999968;260533,910000004;1593618,74999996
310110:MG-AIMORES;95710,4999999944;312763,009999982;212658,810000055;14552;910733,919999974;1413520,7199999;1732214,87999999;382803,040000002;5074956,87999989
310120:MG-AIURUOCA;1996;76664,7600000007;0;4835,44000000134;183705,359999998;447086,830000008;550412,549999995;401859,919999987;1666560,85999999
310130:MG-ALAGOA;0;38151,3300000001;21844,2200000025;0;57223,3200000031;77350,8099999996;388582,320000018;46039,2199999988;629191,220000022
310140:MG-ALBERTINA;0;36999,8000000026;0;1200;145959,239999996;30038,1099999994;491583,149999972;78512,0299999965;784292,329999967
