"Código","Unidade Territorial","UF","Referência","Idosos que recebem o Benefício de Prestação Continuada (BPC) por Município pagador"
"312070","CRUZEIRO DA FORTALEZA","MG","04/2019","27"
"312070","CRUZEIRO DA FORTALEZA","MG","05/2019","27"
"312070","CRUZEIRO DA FORTALEZA","MG","06/2019","26"
"312070","CRUZEIRO DA FORTALEZA","MG","07/2019","27"
"312070","CRUZEIRO DA FORTALEZA","MG","08/2019","27"
"312070","CRUZEIRO DA FORTALEZA","MG","09/2019","27"
"312070","CRUZEIRO DA FORTALEZA","MG","10/2019","27"
"312070","CRUZEIRO DA FORTALEZA","MG","11/2019","27"
"312070","CRUZEIRO DA FORTALEZA","MG","01/2020","27"
"312070","CRUZEIRO DA FORTALEZA","MG","02/2020","27"
"312070","CRUZEIRO DA FORTALEZA","MG","03/2020","27"
"312070","CRUZEIRO DA FORTALEZA","MG","04/2020","26"
"312070","CRUZEIRO DA FORTALEZA","MG","06/2020","26"
"312070","CRUZEIRO DA FORTALEZA","MG","07/2020","26"
"312070","CRUZEIRO DA FORTALEZA","MG","08/2020","26"
"312070","CRUZEIRO DA FORTALEZA","MG","09/2020","26"
"312070","CRUZEIRO DA FORTALEZA","MG","10/2020","27"
"312070","CRUZEIRO DA FORTALEZA","MG","11/2020","27"
"312070","CRUZEIRO DA FORTALEZA","MG","12/2020","27"
"312070","CRUZEIRO DA FORTALEZA","MG","01/2021","28"
"312070","CRUZEIRO DA FORTALEZA","MG","02/2021","28"
"312070","CRUZEIRO DA FORTALEZA","MG","03/2021","28"
"312070","CRUZEIRO DA FORTALEZA","MG","04/2021","30"
"312070","CRUZEIRO DA FORTALEZA","MG","05/2021","28"
"312070","CRUZEIRO DA FORTALEZA","MG","06/2021","28"
"312070","CRUZEIRO DA FORTALEZA","MG","07/2021","28"
"312070","CRUZEIRO DA FORTALEZA","MG","08/2021","29"
"312070","CRUZEIRO DA FORTALEZA","MG","09/2021","28"
"312070","CRUZEIRO DA FORTALEZA","MG","10/2021","29"
"312070","CRUZEIRO DA FORTALEZA","MG","11/2021","28"
"312080","CRUZÍLIA","MG","04/2020","293"
"312080","CRUZÍLIA","MG","03/2020","294"
"312080","CRUZÍLIA","MG","02/2020","293"
"312080","CRUZÍLIA","MG","12/2019","290"
"312080","CRUZÍLIA","MG","10/2019","285"
"312080","CRUZÍLIA","MG","09/2019","285"
"312080","CRUZÍLIA","MG","08/2019","287"
"312080","CRUZÍLIA","MG","07/2019","285"
"312080","CRUZÍLIA","MG","06/2019","287"
"312080","CRUZÍLIA","MG","05/2019","288"
"312080","CRUZÍLIA","MG","04/2019","287"
"312080","CRUZÍLIA","MG","03/2019","290"
"312080","CRUZÍLIA","MG","02/2019","296"
"312080","CRUZÍLIA","MG","01/2019","295"
"312080","CRUZÍLIA","MG","12/2018","293"
"312080","CRUZÍLIA","MG","11/2018","294"
"312080","CRUZÍLIA","MG","02/2018","294"
"312080","CRUZÍLIA","MG","10/2018","294"
"312080","CRUZÍLIA","MG","09/2018","291"
"312080","CRUZÍLIA","MG","03/2018","293"
"312080","CRUZÍLIA","MG","08/2018","291"
"312080","CRUZÍLIA","MG","07/2018","292"
"312080","CRUZÍLIA","MG","01/2018","298"
"312080","CRUZÍLIA","MG","06/2018","290"
"312080","CRUZÍLIA","MG","05/2018","289"
"312080","CRUZÍLIA","MG","11/2021","293"
"312080","CRUZÍLIA","MG","11/2019","290"
"312080","CRUZÍLIA","MG","11/2020","289"
"312080","CRUZÍLIA","MG","09/2020","288"
"312080","CRUZÍLIA","MG","12/2020","288"
"312080","CRUZÍLIA","MG","08/2020","291"
"312080","CRUZÍLIA","MG","01/2021","292"
"312080","CRUZÍLIA","MG","07/2020","291"
"312080","CRUZÍLIA","MG","02/2021","290"
"312080","CRUZÍLIA","MG","03/2021","287"
"312080","CRUZÍLIA","MG","04/2021","288"
"312080","CRUZÍLIA","MG","05/2021","287"
"312080","CRUZÍLIA","MG","10/2020","290"
"312080","CRUZÍLIA","MG","06/2021","288"
"312080","CRUZÍLIA","MG","07/2021","288"
"312080","CRUZÍLIA","MG","08/2021","291"
"312080","CRUZÍLIA","MG","09/2021","293"
"312080","CRUZÍLIA","MG","10/2021","294"
"312080","CRUZÍLIA","MG","04/2018","292"
"312080","CRUZÍLIA","MG","12/2021","296"
"312080","CRUZÍLIA","MG","06/2020","292"
"312080","CRUZÍLIA","MG","01/2020","291"
"312080","CRUZÍLIA","MG","05/2020","294"
"312083","CUPARAQUE","MG","11/2019","19"
"312083","CUPARAQUE","MG","06/2021","22"
"312083","CUPARAQUE","MG","12/2019","19"
"312083","CUPARAQUE","MG","11/2021","23"
"312083","CUPARAQUE","MG","07/2019","16"
"312083","CUPARAQUE","MG","06/2019","16"
"312083","CUPARAQUE","MG","05/2019","16"
"312083","CUPARAQUE","MG","04/2019","17"
"312083","CUPARAQUE","MG","03/2019","17"
"312083","CUPARAQUE","MG","02/2019","17"
"312083","CUPARAQUE","MG","01/2019","17"
"312083","CUPARAQUE","MG","12/2018","16"
"312083","CUPARAQUE","MG","11/2018","15"
"312083","CUPARAQUE","MG","10/2018","14"
"312083","CUPARAQUE","MG","09/2018","14"
"312083","CUPARAQUE","MG","08/2018","14"
"312083","CUPARAQUE","MG","07/2018","13"
"312083","CUPARAQUE","MG","06/2018","13"
"312083","CUPARAQUE","MG","05/2018","13"
"312083","CUPARAQUE","MG","04/2018","13"
"312083","CUPARAQUE","MG","03/2018","13"
"312083","CUPARAQUE","MG","02/2018","13"
"312083","CUPARAQUE","MG","01/2018","13"
"312083","CUPARAQUE","MG","03/2021","19"
"312083","CUPARAQUE","MG","08/2019","16"
"312083","CUPARAQUE","MG","05/2021","22"
"312083","CUPARAQUE","MG","02/2021","19"
"312083","CUPARAQUE","MG","01/2021","19"
"312083","CUPARAQUE","MG","07/2021","22"
"312083","CUPARAQUE","MG","12/2020","19"
"312083","CUPARAQUE","MG","11/2020","19"
"312083","CUPARAQUE","MG","10/2020","19"
"312083","CUPARAQUE","MG","09/2020","21"
"312083","CUPARAQUE","MG","08/2020","21"
"312083","CUPARAQUE","MG","07/2020","22"
"312083","CUPARAQUE","MG","04/2021","19"
"312083","CUPARAQUE","MG","06/2020","22"
"312083","CUPARAQUE","MG","05/2020","21"
"312083","CUPARAQUE","MG","04/2020","21"
"312083","CUPARAQUE","MG","03/2020","20"
"312083","CUPARAQUE","MG","02/2020","19"
"312083","CUPARAQUE","MG","01/2020","19"
"312083","CUPARAQUE","MG","10/2019","17"
"312083","CUPARAQUE","MG","09/2019","16"
"312083","CUPARAQUE","MG","08/2021","23"
"312083","CUPARAQUE","MG","09/2021","23"
"312083","CUPARAQUE","MG","10/2021","23"
"312083","CUPARAQUE","MG","12/2021","23"
"312087","CURRAL DE DENTRO","MG","09/2019","23"
"312087","CURRAL DE DENTRO","MG","05/2018","22"
"312087","CURRAL DE DENTRO","MG","06/2018","22"
"312087","CURRAL DE DENTRO","MG","07/2018","22"
"312087","CURRAL DE DENTRO","MG","08/2018","21"
"312087","CURRAL DE DENTRO","MG","08/2019","23"
"312087","CURRAL DE DENTRO","MG","09/2018","21"
"312087","CURRAL DE DENTRO","MG","02/2020","23"
"312087","CURRAL DE DENTRO","MG","07/2019","23"
"312087","CURRAL DE DENTRO","MG","12/2019","24"
"312087","CURRAL DE DENTRO","MG","06/2021","22"
"312087","CURRAL DE DENTRO","MG","05/2021","22"
"312087","CURRAL DE DENTRO","MG","04/2021","22"
"312087","CURRAL DE DENTRO","MG","03/2021","22"
"312087","CURRAL DE DENTRO","MG","02/2021","22"
"312087","CURRAL DE DENTRO","MG","01/2021","23"
"312087","CURRAL DE DENTRO","MG","12/2020","22"
"312087","CURRAL DE DENTRO","MG","11/2020","22"
"312087","CURRAL DE DENTRO","MG","10/2020","23"
"312087","CURRAL DE DENTRO","MG","09/2020","23"
"312087","CURRAL DE DENTRO","MG","08/2020","22"
"312087","CURRAL DE DENTRO","MG","07/2020","23"
"312087","CURRAL DE DENTRO","MG","06/2020","23"
"312087","CURRAL DE DENTRO","MG","05/2020","22"
"312087","CURRAL DE DENTRO","MG","04/2020","22"
"312087","CURRAL DE DENTRO","MG","03/2020","23"
"312087","CURRAL DE DENTRO","MG","04/2019","23"
"312087","CURRAL DE DENTRO","MG","01/2020","24"
"312087","CURRAL DE DENTRO","MG","12/2021","24"
"312087","CURRAL DE DENTRO","MG","11/2021","24"
"312087","CURRAL DE DENTRO","MG","10/2021","24"
"312087","CURRAL DE DENTRO","MG","09/2021","24"
"312087","CURRAL DE DENTRO","MG","08/2021","23"
"312087","CURRAL DE DENTRO","MG","07/2021","23"
"312087","CURRAL DE DENTRO","MG","10/2019","23"
"312087","CURRAL DE DENTRO","MG","11/2019","24"
"312087","CURRAL DE DENTRO","MG","06/2019","23"
"312087","CURRAL DE DENTRO","MG","10/2018","22"
"312087","CURRAL DE DENTRO","MG","11/2018","22"
"312087","CURRAL DE DENTRO","MG","12/2018","22"
"312087","CURRAL DE DENTRO","MG","01/2019","22"
"312087","CURRAL DE DENTRO","MG","02/2019","22"
"312087","CURRAL DE DENTRO","MG","03/2019","22"
"312087","CURRAL DE DENTRO","MG","01/2018","22"
"312087","CURRAL DE DENTRO","MG","02/2018","22"
"312087","CURRAL DE DENTRO","MG","03/2018","22"
"312087","CURRAL DE DENTRO","MG","05/2019","23"
"312087","CURRAL DE DENTRO","MG","04/2018","22"
"312090","CURVELO","MG","11/2019","1246"
"312090","CURVELO","MG","10/2021","1292"
"312090","CURVELO","MG","12/2021","1293"
"312090","CURVELO","MG","02/2020","1246"
"312090","CURVELO","MG","07/2019","1242"
"312090","CURVELO","MG","06/2019","1246"
"312090","CURVELO","MG","05/2019","1253"
"312090","CURVELO","MG","04/2019","1250"
"312090","CURVELO","MG","03/2020","1263"
"312090","CURVELO","MG","04/2020","1272"
"312090","CURVELO","MG","05/2020","1278"
"312090","CURVELO","MG","06/2020","1288"
"312090","CURVELO","MG","07/2020","1286"
"312090","CURVELO","MG","08/2020","1297"
"312090","CURVELO","MG","09/2020","1300"
"312090","CURVELO","MG","10/2020","1297"
"312090","CURVELO","MG","11/2020","1295"
"312090","CURVELO","MG","12/2020","1291"
"312090","CURVELO","MG","01/2021","1293"
"312090","CURVELO","MG","02/2021","1287"
"312090","CURVELO","MG","03/2021","1279"
"312090","CURVELO","MG","04/2021","1280"
"312090","CURVELO","MG","05/2021","1282"
"312090","CURVELO","MG","06/2021","1283"
"312090","CURVELO","MG","07/2021","1283"
"312090","CURVELO","MG","03/2019","1244"
"312090","CURVELO","MG","08/2021","1302"
"312090","CURVELO","MG","09/2021","1295"
"312090","CURVELO","MG","02/2019","1244"
"312090","CURVELO","MG","01/2019","1251"
"312090","CURVELO","MG","11/2021","1291"
"312090","CURVELO","MG","12/2018","1272"
"312090","CURVELO","MG","11/2018","1265"
"312090","CURVELO","MG","10/2018","1253"
"312090","CURVELO","MG","09/2018","1263"
"312090","CURVELO","MG","08/2018","1256"
"312090","CURVELO","MG","07/2018","1264"
"312090","CURVELO","MG","06/2018","1256"
"312090","CURVELO","MG","05/2018","1251"
"312090","CURVELO","MG","04/2018","1247"
"312090","CURVELO","MG","12/2019","1240"
"312090","CURVELO","MG","03/2018","1232"
"312090","CURVELO","MG","02/2018","1229"
"312090","CURVELO","MG","01/2018","1220"
"312090","CURVELO","MG","08/2019","1236"
"312090","CURVELO","MG","01/2020","1247"
"312090","CURVELO","MG","09/2019","1243"
"312090","CURVELO","MG","10/2019","1253"
"312100","DATAS","MG","11/2021","44"
"312100","DATAS","MG","01/2018","46"
"312100","DATAS","MG","02/2018","47"
"312100","DATAS","MG","03/2018","47"
"312100","DATAS","MG","04/2018","47"
"312100","DATAS","MG","05/2018","46"
"312100","DATAS","MG","06/2018","46"
"312100","DATAS","MG","07/2018","47"
"312100","DATAS","MG","08/2018","47"
"312100","DATAS","MG","09/2018","48"
"312100","DATAS","MG","10/2018","49"
"312100","DATAS","MG","11/2018","50"
"312100","DATAS","MG","12/2018","50"
"312100","DATAS","MG","01/2019","49"
"312100","DATAS","MG","02/2019","49"
"312100","DATAS","MG","03/2019","48"
"312100","DATAS","MG","04/2019","48"
"312100","DATAS","MG","05/2019","47"
"312100","DATAS","MG","06/2019","46"
"312100","DATAS","MG","07/2019","46"
"312100","DATAS","MG","08/2019","46"
"312100","DATAS","MG","09/2019","45"
"312100","DATAS","MG","10/2019","45"
"312100","DATAS","MG","11/2019","45"
"312100","DATAS","MG","01/2020","44"
"312100","DATAS","MG","02/2020","44"
"312100","DATAS","MG","03/2020","45"
"312100","DATAS","MG","04/2020","45"
"312100","DATAS","MG","05/2020","45"
"312100","DATAS","MG","06/2020","45"
"312100","DATAS","MG","07/2020","45"
"312100","DATAS","MG","08/2020","45"
"312100","DATAS","MG","09/2020","44"
"312100","DATAS","MG","10/2020","44"
"312100","DATAS","MG","11/2020","44"
"312100","DATAS","MG","12/2020","44"
"312100","DATAS","MG","01/2021","44"
"312100","DATAS","MG","02/2021","44"
"312100","DATAS","MG","03/2021","45"
"312100","DATAS","MG","04/2021","45"
"312100","DATAS","MG","05/2021","45"
"312100","DATAS","MG","06/2021","45"
"312100","DATAS","MG","07/2021","45"
"312100","DATAS","MG","08/2021","44"
"312100","DATAS","MG","09/2021","44"
"312100","DATAS","MG","10/2021","44"
"312100","DATAS","MG","12/2021","44"
"312100","DATAS","MG","12/2019","45"
"312110","DELFIM MOREIRA","MG","10/2018","44"
"312110","DELFIM MOREIRA","MG","01/2018","43"
"312110","DELFIM MOREIRA","MG","11/2018","43"
"312110","DELFIM MOREIRA","MG","12/2019","42"
"312110","DELFIM MOREIRA","MG","09/2018","42"
"312110","DELFIM MOREIRA","MG","08/2018","43"
"312110","DELFIM MOREIRA","MG","07/2018","43"
"312110","DELFIM MOREIRA","MG","06/2018","46"
"312110","DELFIM MOREIRA","MG","05/2018","47"
"312110","DELFIM MOREIRA","MG","04/2018","45"
"312110","DELFIM MOREIRA","MG","03/2018","43"
"312110","DELFIM MOREIRA","MG","02/2018","43"
"312110","DELFIM MOREIRA","MG","12/2018","43"
"312110","DELFIM MOREIRA","MG","01/2019","43"
"312110","DELFIM MOREIRA","MG","02/2019","43"
"312110","DELFIM MOREIRA","MG","03/2019","42"
"312110","DELFIM MOREIRA","MG","04/2019","44"
"312110","DELFIM MOREIRA","MG","05/2019","44"
"312110","DELFIM MOREIRA","MG","06/2019","44"
"312110","DELFIM MOREIRA","MG","07/2019","44"
"312110","DELFIM MOREIRA","MG","12/2021","46"
"312110","DELFIM MOREIRA","MG","08/2019","44"
"312110","DELFIM MOREIRA","MG","09/2019","42"
"312110","DELFIM MOREIRA","MG","10/2019","42"
"312110","DELFIM MOREIRA","MG","11/2019","42"
"312110","DELFIM MOREIRA","MG","01/2020","44"
"312110","DELFIM MOREIRA","MG","02/2020","45"
"312110","DELFIM MOREIRA","MG","03/2020","45"
"312110","DELFIM MOREIRA","MG","04/2020","46"
"312110","DELFIM MOREIRA","MG","05/2020","47"
"312110","DELFIM MOREIRA","MG","06/2020","48"
"312110","DELFIM MOREIRA","MG","07/2020","49"
"312110","DELFIM MOREIRA","MG","08/2020","50"
"312110","DELFIM MOREIRA","MG","09/2020","52"
"312110","DELFIM MOREIRA","MG","10/2020","51"
"312110","DELFIM MOREIRA","MG","11/2020","52"
"312110","DELFIM MOREIRA","MG","12/2020","52"
"312110","DELFIM MOREIRA","MG","01/2021","51"
"312110","DELFIM MOREIRA","MG","02/2021","51"
"312110","DELFIM MOREIRA","MG","03/2021","50"
"312110","DELFIM MOREIRA","MG","04/2021","49"
"312110","DELFIM MOREIRA","MG","05/2021","50"
"312110","DELFIM MOREIRA","MG","06/2021","49"
"312110","DELFIM MOREIRA","MG","07/2021","47"
"312110","DELFIM MOREIRA","MG","08/2021","47"
"312110","DELFIM MOREIRA","MG","09/2021","45"
"312110","DELFIM MOREIRA","MG","10/2021","45"
"312110","DELFIM MOREIRA","MG","11/2021","45"
"312120","DELFINÓPOLIS","MG","08/2018","37"
"312120","DELFINÓPOLIS","MG","12/2019","38"
"312120","DELFINÓPOLIS","MG","12/2021","34"
"312120","DELFINÓPOLIS","MG","10/2021","34"
"312120","DELFINÓPOLIS","MG","09/2021","35"
"312120","DELFINÓPOLIS","MG","08/2021","35"
"312120","DELFINÓPOLIS","MG","07/2021","34"
"312120","DELFINÓPOLIS","MG","06/2021","35"
"312120","DELFINÓPOLIS","MG","05/2021","34"
"312120","DELFINÓPOLIS","MG","04/2021","34"
"312120","DELFINÓPOLIS","MG","03/2021","33"
"312120","DELFINÓPOLIS","MG","02/2021","34"
"312120","DELFINÓPOLIS","MG","01/2021","35"
"312120","DELFINÓPOLIS","MG","12/2020","34"
"312120","DELFINÓPOLIS","MG","11/2020","34"
"312120","DELFINÓPOLIS","MG","10/2020","35"
"312120","DELFINÓPOLIS","MG","09/2020","37"
"312120","DELFINÓPOLIS","MG","08/2020","39"
"312120","DELFINÓPOLIS","MG","07/2020","39"
"312120","DELFINÓPOLIS","MG","06/2020","39"
"312120","DELFINÓPOLIS","MG","05/2020","38"
"312120","DELFINÓPOLIS","MG","04/2020","38"
"312120","DELFINÓPOLIS","MG","03/2020","39"
"312120","DELFINÓPOLIS","MG","02/2020","38"
"312120","DELFINÓPOLIS","MG","01/2020","38"
"312120","DELFINÓPOLIS","MG","11/2019","39"
"312120","DELFINÓPOLIS","MG","10/2019","35"
"312120","DELFINÓPOLIS","MG","09/2019","35"
"312120","DELFINÓPOLIS","MG","08/2019","36"
"312120","DELFINÓPOLIS","MG","07/2019","35"
"312120","DELFINÓPOLIS","MG","06/2019","36"
"312120","DELFINÓPOLIS","MG","05/2019","37"
"312120","DELFINÓPOLIS","MG","04/2019","37"
"312120","DELFINÓPOLIS","MG","03/2019","37"
"312120","DELFINÓPOLIS","MG","02/2019","37"
"312120","DELFINÓPOLIS","MG","01/2019","36"
"312120","DELFINÓPOLIS","MG","12/2018","37"
"312120","DELFINÓPOLIS","MG","11/2018","36"
"312120","DELFINÓPOLIS","MG","10/2018","36"
"312120","DELFINÓPOLIS","MG","09/2018","36"
"312120","DELFINÓPOLIS","MG","07/2018","37"
"312120","DELFINÓPOLIS","MG","06/2018","37"
"312120","DELFINÓPOLIS","MG","05/2018","36"
"312120","DELFINÓPOLIS","MG","04/2018","35"
"312120","DELFINÓPOLIS","MG","03/2018","35"
"312120","DELFINÓPOLIS","MG","02/2018","36"
"312120","DELFINÓPOLIS","MG","01/2018","38"
"312120","DELFINÓPOLIS","MG","11/2021","33"
"312125","DELTA","MG","09/2021","32"
"312125","DELTA","MG","10/2021","32"
"312125","DELTA","MG","01/2018","40"
"312125","DELTA","MG","04/2018","43"
"312125","DELTA","MG","05/2018","43"
"312125","DELTA","MG","06/2018","43"
"312125","DELTA","MG","07/2018","41"
"312125","DELTA","MG","08/2018","41"
"312125","DELTA","MG","09/2018","41"
"312125","DELTA","MG","10/2018","41"
"312125","DELTA","MG","11/2018","41"
"312125","DELTA","MG","12/2018","43"
"312125","DELTA","MG","01/2019","44"
"312125","DELTA","MG","02/2019","44"
"312125","DELTA","MG","03/2019","44"
"312125","DELTA","MG","04/2019","41"
"312125","DELTA","MG","05/2019","42"
"312125","DELTA","MG","06/2019","42"
"312125","DELTA","MG","07/2019","42"
"312125","DELTA","MG","08/2019","42"
"312125","DELTA","MG","09/2019","43"
"312125","DELTA","MG","10/2019","42"
"312125","DELTA","MG","11/2019","43"
"312125","DELTA","MG","12/2019","43"
"312125","DELTA","MG","12/2021","34"
"312125","DELTA","MG","11/2021","33"
"312125","DELTA","MG","01/2020","42"
"312125","DELTA","MG","02/2020","41"
"312125","DELTA","MG","03/2020","42"
"312125","DELTA","MG","04/2020","42"
"312125","DELTA","MG","05/2020","41"
"312125","DELTA","MG","06/2020","40"
"312125","DELTA","MG","07/2020","40"
"312125","DELTA","MG","08/2020","40"
"312125","DELTA","MG","09/2020","40"
"312125","DELTA","MG","10/2020","40"
"312125","DELTA","MG","02/2018","40"
"312125","DELTA","MG","11/2020","39"
"312125","DELTA","MG","12/2020","38"
"312125","DELTA","MG","01/2021","37"
"312125","DELTA","MG","02/2021","37"
"312125","DELTA","MG","03/2021","36"
"312125","DELTA","MG","03/2018","41"
"312125","DELTA","MG","04/2021","37"
"312125","DELTA","MG","05/2021","38"
"312125","DELTA","MG","06/2021","37"
"312125","DELTA","MG","07/2021","37"
"312125","DELTA","MG","08/2021","36"
"312130","DESCOBERTO","MG","02/2019","38"
"312130","DESCOBERTO","MG","12/2019","41"
"312130","DESCOBERTO","MG","01/2018","41"
"312130","DESCOBERTO","MG","02/2018","41"
"312130","DESCOBERTO","MG","03/2018","40"
"312130","DESCOBERTO","MG","04/2018","39"
"312130","DESCOBERTO","MG","05/2018","41"
"312130","DESCOBERTO","MG","06/2018","40"
"312130","DESCOBERTO","MG","07/2018","40"
"312130","DESCOBERTO","MG","08/2018","40"
"312130","DESCOBERTO","MG","09/2018","40"
"312130","DESCOBERTO","MG","10/2018","41"
"312130","DESCOBERTO","MG","11/2018","42"
"312130","DESCOBERTO","MG","12/2018","42"
"312130","DESCOBERTO","MG","01/2019","41"
"312130","DESCOBERTO","MG","03/2019","38"
"312130","DESCOBERTO","MG","04/2019","38"
"312130","DESCOBERTO","MG","05/2019","38"
"312130","DESCOBERTO","MG","06/2019","38"
"312130","DESCOBERTO","MG","07/2019","37"
"312130","DESCOBERTO","MG","08/2019","39"
"312130","DESCOBERTO","MG","09/2019","38"
"312130","DESCOBERTO","MG","10/2019","37"
"312130","DESCOBERTO","MG","11/2019","39"
"312130","DESCOBERTO","MG","01/2020","41"
"312130","DESCOBERTO","MG","02/2020","41"
"312130","DESCOBERTO","MG","03/2020","42"
"312130","DESCOBERTO","MG","04/2020","42"
"312130","DESCOBERTO","MG","05/2020","43"
"312130","DESCOBERTO","MG","06/2020","44"
"312130","DESCOBERTO","MG","07/2020","44"
"312130","DESCOBERTO","MG","08/2020","44"
"312130","DESCOBERTO","MG","09/2020","45"
"312130","DESCOBERTO","MG","10/2020","44"
"312130","DESCOBERTO","MG","11/2020","44"
"312130","DESCOBERTO","MG","12/2020","44"
"312130","DESCOBERTO","MG","01/2021","44"
"312130","DESCOBERTO","MG","02/2021","48"
"312130","DESCOBERTO","MG","03/2021","47"
"312130","DESCOBERTO","MG","04/2021","48"
"312130","DESCOBERTO","MG","05/2021","46"
"312130","DESCOBERTO","MG","06/2021","47"
"312130","DESCOBERTO","MG","07/2021","47"
"312130","DESCOBERTO","MG","08/2021","47"
"312130","DESCOBERTO","MG","09/2021","47"
"312130","DESCOBERTO","MG","10/2021","47"
"312130","DESCOBERTO","MG","11/2021","47"
"312130","DESCOBERTO","MG","12/2021","46"
"312140","DESTERRO DE ENTRE RIOS","MG","10/2021","32"
"312140","DESTERRO DE ENTRE RIOS","MG","12/2019","28"
"312140","DESTERRO DE ENTRE RIOS","MG","09/2021","32"
"312140","DESTERRO DE ENTRE RIOS","MG","08/2021","31"
"312140","DESTERRO DE ENTRE RIOS","MG","07/2021","31"
"312140","DESTERRO DE ENTRE RIOS","MG","06/2021","32"
"312140","DESTERRO DE ENTRE RIOS","MG","03/2018","29"
"312140","DESTERRO DE ENTRE RIOS","MG","09/2018","33"
"312140","DESTERRO DE ENTRE RIOS","MG","06/2018","30"
"312140","DESTERRO DE ENTRE RIOS","MG","02/2018","27"
"312140","DESTERRO DE ENTRE RIOS","MG","01/2018","27"
"312140","DESTERRO DE ENTRE RIOS","MG","07/2018","30"
"312140","DESTERRO DE ENTRE RIOS","MG","10/2018","33"
"312140","DESTERRO DE ENTRE RIOS","MG","11/2018","33"
"312140","DESTERRO DE ENTRE RIOS","MG","12/2018","33"
"312140","DESTERRO DE ENTRE RIOS","MG","01/2019","32"
"312140","DESTERRO DE ENTRE RIOS","MG","02/2019","32"
"312140","DESTERRO DE ENTRE RIOS","MG","03/2019","32"
"312140","DESTERRO DE ENTRE RIOS","MG","04/2019","32"
"312140","DESTERRO DE ENTRE RIOS","MG","05/2019","33"
"312140","DESTERRO DE ENTRE RIOS","MG","06/2019","33"
"312140","DESTERRO DE ENTRE RIOS","MG","07/2019","32"
"312140","DESTERRO DE ENTRE RIOS","MG","08/2019","32"
"312140","DESTERRO DE ENTRE RIOS","MG","09/2019","32"
"312140","DESTERRO DE ENTRE RIOS","MG","10/2019","29"
"312140","DESTERRO DE ENTRE RIOS","MG","11/2019","28"
"312140","DESTERRO DE ENTRE RIOS","MG","01/2020","28"
"312140","DESTERRO DE ENTRE RIOS","MG","02/2020","28"
"312140","DESTERRO DE ENTRE RIOS","MG","03/2020","29"
"312140","DESTERRO DE ENTRE RIOS","MG","04/2020","30"
"312140","DESTERRO DE ENTRE RIOS","MG","05/2020","30"
"312140","DESTERRO DE ENTRE RIOS","MG","06/2020","30"
"312140","DESTERRO DE ENTRE RIOS","MG","07/2020","30"
"312140","DESTERRO DE ENTRE RIOS","MG","08/2020","30"
"312140","DESTERRO DE ENTRE RIOS","MG","09/2020","30"
"312140","DESTERRO DE ENTRE RIOS","MG","10/2020","31"
"312140","DESTERRO DE ENTRE RIOS","MG","11/2020","31"
"312140","DESTERRO DE ENTRE RIOS","MG","12/2020","31"
"312140","DESTERRO DE ENTRE RIOS","MG","01/2021","30"
"312140","DESTERRO DE ENTRE RIOS","MG","02/2021","31"
"312140","DESTERRO DE ENTRE RIOS","MG","03/2021","31"
"312140","DESTERRO DE ENTRE RIOS","MG","04/2021","31"
"312140","DESTERRO DE ENTRE RIOS","MG","05/2021","30"
"312140","DESTERRO DE ENTRE RIOS","MG","08/2018","31"
"312140","DESTERRO DE ENTRE RIOS","MG","05/2018","30"
"312140","DESTERRO DE ENTRE RIOS","MG","04/2018","30"
"312140","DESTERRO DE ENTRE RIOS","MG","12/2021","30"
"312140","DESTERRO DE ENTRE RIOS","MG","11/2021","31"
"312150","DESTERRO DO MELO","MG","10/2018","10"
"312150","DESTERRO DO MELO","MG","08/2018","11"
"312150","DESTERRO DO MELO","MG","03/2018","11"
"312150","DESTERRO DO MELO","MG","02/2018","8"
"312150","DESTERRO DO MELO","MG","01/2018","8"
"312150","DESTERRO DO MELO","MG","05/2018","10"
"312150","DESTERRO DO MELO","MG","04/2018","10"
"312150","DESTERRO DO MELO","MG","12/2019","10"
"312150","DESTERRO DO MELO","MG","06/2018","11"
"312150","DESTERRO DO MELO","MG","12/2021","8"
"312150","DESTERRO DO MELO","MG","11/2021","8"
"312150","DESTERRO DO MELO","MG","10/2021","9"
"312150","DESTERRO DO MELO","MG","09/2021","9"
"312150","DESTERRO DO MELO","MG","08/2021","9"
"312150","DESTERRO DO MELO","MG","07/2021","9"
"312150","DESTERRO DO MELO","MG","06/2021","9"
"312150","DESTERRO DO MELO","MG","05/2021","9"
"312150","DESTERRO DO MELO","MG","04/2021","10"
"312150","DESTERRO DO MELO","MG","03/2021","10"
"312150","DESTERRO DO MELO","MG","02/2021","10"
"312150","DESTERRO DO MELO","MG","01/2021","10"
"312150","DESTERRO DO MELO","MG","12/2020","10"
"312150","DESTERRO DO MELO","MG","11/2020","9"
"312150","DESTERRO DO MELO","MG","10/2020","9"
"312150","DESTERRO DO MELO","MG","09/2020","10"
"312150","DESTERRO DO MELO","MG","08/2020","10"
"312150","DESTERRO DO MELO","MG","07/2020","10"
"312150","DESTERRO DO MELO","MG","06/2020","10"
"312150","DESTERRO DO MELO","MG","05/2020","10"
"312150","DESTERRO DO MELO","MG","04/2020","10"
"312150","DESTERRO DO MELO","MG","03/2020","10"
"312150","DESTERRO DO MELO","MG","02/2020","10"
"312150","DESTERRO DO MELO","MG","01/2020","10"
"312150","DESTERRO DO MELO","MG","11/2019","10"
"312150","DESTERRO DO MELO","MG","10/2019","10"
