Coluna;IBGE Setor
Município-Minas Gerais;1 - Extrativa mineral;2 - Indústria de transformação;3 - Servicos industriais de utilidade pública;4 - Construção Civil;5 - Comércio;6 - Serviços;7 - Administração Pública;8 - Agropecuária, extração vegetal, caça e pesca;Total
310010:MG-ABADIA DOS DOURADOS;55362,1999999993;614849,149999973;2811,91999999899;121419,030000012;328020,160000012;463239,209999971;556276,279999992;203959,77;2345937,71999996
310020:MG-ABAETE;11603,9500000016;745884,710000026;0;167410,009999997;1514057,88999998;1821611,94999999;1248722,86000009;739978,870000002;6249270,24000008
310030:MG-ABRE CAMPO;24687,0200000014;114567,670000009;55598,6299999934;97755,5900000012;548620,730000062;968430,600000007;417378,190000009;265331,329999985;2492369,76000007
310040:MG-ACAIACA;63669,5599999987;34736,580000001;0;5801;79227,3800000055;74587,5500000063;441992,810000017;38520,5000000037;738535,380000032
310050:MG-ACUCENA;0;7276,17000000086;0;3739,8599999994;80737,3500000099;44251,9399999976;393581,05999999;89967,7400000002;619554,119999998
310060:MG-AGUA BOA;0;5434;0;2600;212349,979999993;167022,739999996;646572,560000061;206021,340000002;1240000,62000005
310070:MG-AGUA COMPRIDA;22827,959999999;6178;0;0;32424,5500000026;26475,9500000011;575000,160000021;495143,889999986;1158050,51000001
310080:MG-AGUANIL;0;231543,639999988;0;15697,4800000004;76501,2199999969;130744,390000001;450117,27999999;134113,590000002;1038717,59999998
310090:MG-AGUAS FORMOSAS;0;308232,330000005;0;3135;490908,480000026;813195,26000004;977979,480000013;168337,420000001;2761787,97000009
310100:MG-AGUAS VERMELHAS;6396,27999999747;21620,0299999993;0;3135;377441,849999989;157682,07000001;681768,880000012;303299,949999987;1551344,05999999
310110:MG-AIMORES;91790,2400000053;594603,999999985;198309,369999997;12044,5;911001,400000005;1308043,29000001;2102849,24000005;347589,090000001;5566231,13000005
310120:MG-AIURUOCA;2090;124829,18;0;4783;178054,060000016;439407,400000001;473822,009999989;449571,410000004;1672557,06000001
310130:MG-ALAGOA;0;54808,0499999989;25334,3200000022;3124,96000000089;51372,8199999984;76877,4600000065;450866,300000001;47955,2400000021;710339,15000001
310140:MG-ALBERTINA;0;125300,939999999;0;4402;154258,279999994;27205,5000000019;469728,630000025;87681,0300000012;868576,38000002
310150:MG-ALEM PARAIBA;51069,0800000038;492849,849999991;358381,399999984;529571,889999987;1728992,9799999;3227781,3599999;2230097,91000008;217680,640000012;8836425,10999986
310160:MG-ALFENAS;108863,169999997;5463133,62999989;158124,050000001;1381243,69;9049031,22000017;30499184,3000007;7991033,38000023;3241267,23999994;57891880,6800009
310163:MG-ALFREDO VASCONCELOS;1988,26999999955;137814,969999977;0;128036,010000002;199751,219999999;157530,310000001;435982,080000017;299958,72000001;1361061,58000001
310170:MG-ALMENARA;33694,7600000072;123563,589999998;92200,1300000036;2296584,22999997;1715846,43000004;2454126,08999996;3291706,64999995;254653,239999998;10262375,1199999
310180:MG-ALPERCATA;64516,480000006;55487,3699999973;0;12777,3199999994;222872,51999999;173472,429999993;438899,290000009;128901,059999999;1096926,46999999
310190:MG-ALPINOPOLIS;139532,729999991;494632,24000001;0;45118,0199999996;1148546,74000004;1182654,66999999;1285136,82000001;450415,529999999;4746036,75000003
