"Código","Unidade Territorial","UF","Referência","Valor repassado aos idosos via Benefício de Prestação Continuada (BPC) por município pagador"
"310020","ABAETÉ","MG","10/2021","502700"
"310030","ABRE CAMPO","MG","10/2018","58194"
"310030","ABRE CAMPO","MG","12/2019","63872"
"310030","ABRE CAMPO","MG","01/2018","58861.8"
"310030","ABRE CAMPO","MG","02/2018","58861.8"
"310030","ABRE CAMPO","MG","03/2018","57907.8"
"310030","ABRE CAMPO","MG","04/2018","59908.39"
"310030","ABRE CAMPO","MG","05/2018","59148"
"310030","ABRE CAMPO","MG","06/2018","59148.00"
"310030","ABRE CAMPO","MG","07/2018","59148"
"310030","ABRE CAMPO","MG","08/2018","60102"
"310030","ABRE CAMPO","MG","09/2018","59148"
"310030","ABRE CAMPO","MG","11/2018","59146.4"
"310030","ABRE CAMPO","MG","12/2018","58194"
"310030","ABRE CAMPO","MG","01/2019","62874"
"310030","ABRE CAMPO","MG","02/2019","62874"
"310030","ABRE CAMPO","MG","03/2019","61876"
"310030","ABRE CAMPO","MG","04/2019","60878"
"310030","ABRE CAMPO","MG","05/2019","60878"
"310030","ABRE CAMPO","MG","06/2019","60878"
"310030","ABRE CAMPO","MG","07/2019","60878"
"310030","ABRE CAMPO","MG","08/2019","59880"
"310030","ABRE CAMPO","MG","09/2019","57884"
"310030","ABRE CAMPO","MG","10/2019","58882"
"310030","ABRE CAMPO","MG","11/2019","61891.06"
"310030","ABRE CAMPO","MG","01/2020","67535"
"310030","ABRE CAMPO","MG","02/2020","70015"
"310030","ABRE CAMPO","MG","03/2020","70015"
"310030","ABRE CAMPO","MG","04/2020","70015"
"310030","ABRE CAMPO","MG","05/2020","70015"
"310030","ABRE CAMPO","MG","06/2020","68970.00"
"310030","ABRE CAMPO","MG","07/2020","68970"
"310030","ABRE CAMPO","MG","08/2020","67925"
"310030","ABRE CAMPO","MG","09/2020","67925"
"310030","ABRE CAMPO","MG","10/2020","68970"
"310030","ABRE CAMPO","MG","11/2020","68986.26"
"310030","ABRE CAMPO","MG","12/2020","68970"
"310030","ABRE CAMPO","MG","01/2021","72600"
"310030","ABRE CAMPO","MG","02/2021","72600"
"310030","ABRE CAMPO","MG","03/2021","71500"
"310030","ABRE CAMPO","MG","04/2021","72600"
"310030","ABRE CAMPO","MG","05/2021","72600"
"310030","ABRE CAMPO","MG","06/2021","72600"
"310030","ABRE CAMPO","MG","07/2021","71500"
"310030","ABRE CAMPO","MG","08/2021","70400"
"310030","ABRE CAMPO","MG","09/2021","69300"
"310030","ABRE CAMPO","MG","10/2021","68200"
"310030","ABRE CAMPO","MG","11/2021","70413.68"
"310030","ABRE CAMPO","MG","12/2021","70400"
"310040","ACAIACA","MG","06/2018","18126.00"
"310040","ACAIACA","MG","12/2021","19800"
"310040","ACAIACA","MG","01/2018","18126"
"310040","ACAIACA","MG","02/2018","18126"
"310040","ACAIACA","MG","03/2018","18126"
"310040","ACAIACA","MG","04/2018","18126"
"310040","ACAIACA","MG","05/2018","18126"
"310040","ACAIACA","MG","07/2018","18126"
"310040","ACAIACA","MG","08/2018","18126"
"310040","ACAIACA","MG","09/2018","18126"
"310040","ACAIACA","MG","10/2018","18126"
"310040","ACAIACA","MG","12/2019","14970"
"310040","ACAIACA","MG","11/2018","18126"
"310040","ACAIACA","MG","12/2018","17172"
"310040","ACAIACA","MG","01/2019","16966"
"310040","ACAIACA","MG","02/2019","16966"
"310040","ACAIACA","MG","03/2019","15968"
"310040","ACAIACA","MG","04/2019","14970"
"310040","ACAIACA","MG","05/2019","14970"
"310040","ACAIACA","MG","06/2019","14970"
"310040","ACAIACA","MG","07/2019","14970"
"310040","ACAIACA","MG","08/2019","14970"
"310040","ACAIACA","MG","09/2019","14970"
"310040","ACAIACA","MG","10/2019","14970"
"310040","ACAIACA","MG","11/2019","14973.11"
"310040","ACAIACA","MG","01/2020","13507"
"310040","ACAIACA","MG","02/2020","12540"
"310040","ACAIACA","MG","03/2020","12540"
"310040","ACAIACA","MG","04/2020","13585"
"310040","ACAIACA","MG","05/2020","14630"
"310040","ACAIACA","MG","06/2020","14630.00"
"310040","ACAIACA","MG","07/2020","14630"
"310040","ACAIACA","MG","08/2020","14630"
"310040","ACAIACA","MG","09/2020","14630"
"310040","ACAIACA","MG","10/2020","14630"
"310040","ACAIACA","MG","11/2020","15675"
"310040","ACAIACA","MG","12/2020","14630"
"310040","ACAIACA","MG","01/2021","15400"
"310040","ACAIACA","MG","02/2021","15400"
"310040","ACAIACA","MG","03/2021","15400"
"310040","ACAIACA","MG","04/2021","15400"
"310040","ACAIACA","MG","05/2021","15400"
"310040","ACAIACA","MG","06/2021","15400"
"310040","ACAIACA","MG","07/2021","16500"
"310040","ACAIACA","MG","08/2021","18700"
"310040","ACAIACA","MG","09/2021","17600"
"310040","ACAIACA","MG","10/2021","18700"
"310040","ACAIACA","MG","11/2021","18700"
"310050","AÇUCENA","MG","06/2021","68200"
"310050","AÇUCENA","MG","01/2018","60770"
"310050","AÇUCENA","MG","02/2018","60770"
"310050","AÇUCENA","MG","03/2018","59816"
"310050","AÇUCENA","MG","04/2018","58862"
