"Código","Unidade Territorial","UF","Referência","Famílias Beneficiárias do Auxílio Brasil","Valores Repassados do Auxílio Brasil + Benefício Extraordinário","Benefício Médio do Auxílio Brasil + Benefício Extraordinário"
"310010","ABADIA DOS DOURADOS","MG","11/2021","271","43815.00","161.68"
"310010","ABADIA DOS DOURADOS","MG","12/2021","277","110964.00","400.59"
"310010","ABADIA DOS DOURADOS","MG","01/2022","315","126164","400.52"
"310010","ABADIA DOS DOURADOS","MG","02/2022","320","127563.00","401.14"
"310010","ABADIA DOS DOURADOS","MG","03/2022","322","129357","401.73"
"310010","ABADIA DOS DOURADOS","MG","04/2022","333","133812.00","401.84"
"310010","ABADIA DOS DOURADOS","MG","05/2022","337","135582","403.52"
"310010","ABADIA DOS DOURADOS","MG","06/2022","351","140956","401.58"
"310010","ABADIA DOS DOURADOS","MG","07/2022","354","141855.00","400.72"
"310010","ABADIA DOS DOURADOS","MG","08/2022","360","216200","600.56"
"310010","ABADIA DOS DOURADOS","MG","09/2022","368","221000.00","600.54"
"310020","ABAETÉ","MG","11/2021","834","162430.00","194.76"
"310020","ABAETÉ","MG","12/2021","826","333688.00","403.98"
"310020","ABAETÉ","MG","01/2022","1134","457208","403.18"
"310020","ABAETÉ","MG","02/2022","1172","461465.00","404.44"
"310020","ABAETÉ","MG","03/2022","1124","455008","404.81"
"310020","ABAETÉ","MG","04/2022","1133","458607.00","404.77"
"310020","ABAETÉ","MG","05/2022","1148","457051","404.47"
"310020","ABAETÉ","MG","06/2022","1162","463428","404.39"
"310020","ABAETÉ","MG","07/2022","1156","460838.00","404.24"
"310020","ABAETÉ","MG","08/2022","1201","715413","604.23"
"310020","ABAETÉ","MG","09/2022","1216","732185.00","604.11"
"310030","ABRE CAMPO","MG","11/2021","1072","221656.00","206.77"
"310030","ABRE CAMPO","MG","12/2021","1073","434763.00","405.18"
"310030","ABRE CAMPO","MG","01/2022","1186","480575","405.21"
"310030","ABRE CAMPO","MG","02/2022","1194","485797.00","407.21"
"310030","ABRE CAMPO","MG","03/2022","1186","482408","406.75"
"310030","ABRE CAMPO","MG","04/2022","1199","487105.00","406.26"
"310030","ABRE CAMPO","MG","05/2022","1207","489951","405.92"
"310030","ABRE CAMPO","MG","06/2022","1206","489267","405.69"
"310030","ABRE CAMPO","MG","07/2022","1203","486306.00","405.59"
"310030","ABRE CAMPO","MG","08/2022","1244","750661","605.37"
"310030","ABRE CAMPO","MG","09/2022","1249","755154.00","605.09"
"310040","ACAIACA","MG","11/2021","447","94827.00","212.14"
"310040","ACAIACA","MG","12/2021","443","178837.00","403.70"
"310040","ACAIACA","MG","01/2022","474","191237","403.45"
"310040","ACAIACA","MG","02/2022","485","197067.00","406.32"
"310040","ACAIACA","MG","03/2022","467","189531","405.85"
"310040","ACAIACA","MG","04/2022","465","188730.00","405.87"
"310040","ACAIACA","MG","05/2022","453","183906","405.97"
"310040","ACAIACA","MG","06/2022","443","179588","405.39"
"310040","ACAIACA","MG","07/2022","446","179973.00","405.34"
"310040","ACAIACA","MG","08/2022","453","272923","605.15"
"310040","ACAIACA","MG","09/2022","452","273438.00","604.95"
"310050","AÇUCENA","MG","11/2021","875","186178.00","212.77"
"310050","AÇUCENA","MG","12/2021","874","354598.00","405.72"
"310050","AÇUCENA","MG","01/2022","951","385422","405.28"
"310050","AÇUCENA","MG","02/2022","999","406784.00","407.19"
"310050","AÇUCENA","MG","03/2022","1031","419276","406.67"
"310050","AÇUCENA","MG","04/2022","1045","424741.00","406.45"
"310050","AÇUCENA","MG","05/2022","1078","438408","406.69"
"310050","AÇUCENA","MG","06/2022","1086","440958","406.04"
"310050","AÇUCENA","MG","07/2022","1085","439709.00","406.01"
"310050","AÇUCENA","MG","08/2022","1124","679442","605.56"
"310050","AÇUCENA","MG","09/2022","1148","694911.00","605.32"
"310060","ÁGUA BOA","MG","11/2021","2174","558212.00","256.77"
"310060","ÁGUA BOA","MG","12/2021","2175","891891.00","410.06"
"310060","ÁGUA BOA","MG","01/2022","2425","991532","408.88"
"310060","ÁGUA BOA","MG","02/2022","2460","1014208.00","412.28"
"310060","ÁGUA BOA","MG","03/2022","2458","1013949","412.51"
"310060","ÁGUA BOA","MG","04/2022","2447","1008937.00","412.32"
"310060","ÁGUA BOA","MG","05/2022","2417","994108","411.30"
"310060","ÁGUA BOA","MG","06/2022","2386","979624","410.57"
"310060","ÁGUA BOA","MG","07/2022","2374","970062.00","410.52"
"310060","ÁGUA BOA","MG","08/2022","2489","1511644","609.78"
"310060","ÁGUA BOA","MG","09/2022","2467","1502785.00","609.15"
"310070","ÁGUA COMPRIDA","MG","11/2021","123","26025.00","211.59"
"310070","ÁGUA COMPRIDA","MG","12/2021","123","49314.00","400.93"
"310070","ÁGUA COMPRIDA","MG","01/2022","151","60589","401.25"
"310070","ÁGUA COMPRIDA","MG","02/2022","158","62386.00","402.49"
"310070","ÁGUA COMPRIDA","MG","03/2022","164","66050","402.74"
"310070","ÁGUA COMPRIDA","MG","04/2022","165","66450.00","402.73"
"310070","ÁGUA COMPRIDA","MG","05/2022","166","66851","402.72"
"310070","ÁGUA COMPRIDA","MG","06/2022","165","66390","402.36"
"310070","ÁGUA COMPRIDA","MG","07/2022","165","65980.00","402.32"
"310070","ÁGUA COMPRIDA","MG","08/2022","195","116823","602.18"
"310070","ÁGUA COMPRIDA","MG","09/2022","199","119388.00","602.97"
"310080","AGUANIL","MG","11/2021","265","62831.00","237.10"
"310080","AGUANIL","MG","12/2021","264","107584.00","407.52"
"310080","AGUANIL","MG","01/2022","310","126088","406.74"
"310080","AGUANIL","MG","02/2022","320","126563.00","409.59"
"310080","AGUANIL","MG","03/2022","321","131376","409.27"
"310080","AGUANIL","MG","04/2022","325","133104.00","409.55"
"310080","AGUANIL","MG","05/2022","337","137055","409.12"
"310080","AGUANIL","MG","06/2022","343","139445","408.93"
"310080","AGUANIL","MG","07/2022","340","136980.00","408.90"
"310080","AGUANIL","MG","08/2022","350","209000","607.56"
"310080","AGUANIL","MG","09/2022","357","213778.00","607.32"
"310090","ÁGUAS FORMOSAS","MG","11/2021","2761","683367.00","247.51"
"310090","ÁGUAS FORMOSAS","MG","12/2021","2768","1141372.00","412.35"
"310090","ÁGUAS FORMOSAS","MG","01/2022","3415","1400253","410.03"
"310090","ÁGUAS FORMOSAS","MG","02/2022","3477","1434712.00","413.46"
"310090","ÁGUAS FORMOSAS","MG","03/2022","3502","1446354","413.01"
"310090","ÁGUAS FORMOSAS","MG","04/2022","3480","1437333.00","413.03"
"310090","ÁGUAS FORMOSAS","MG","05/2022","3418","1411583","412.99"
"310090","ÁGUAS FORMOSAS","MG","06/2022","3398","1402898","412.86"
"310090","ÁGUAS FORMOSAS","MG","07/2022","3388","1390992.00","412.15"
"310090","ÁGUAS FORMOSAS","MG","08/2022","3820","2325058","610.73"
"310090","ÁGUAS FORMOSAS","MG","09/2022","3929","2397797.00","610.44"
"310100","ÁGUAS VERMELHAS","MG","11/2021","2146","623586.00","290.58"
"310100","ÁGUAS VERMELHAS","MG","12/2021","2146","895665.00","417.36"
"310100","ÁGUAS VERMELHAS","MG","01/2022","2717","1124245","413.78"
"310100","ÁGUAS VERMELHAS","MG","02/2022","2790","1131290.00","418.22"
"310100","ÁGUAS VERMELHAS","MG","03/2022","2776","1159306","417.62"
"310100","ÁGUAS VERMELHAS","MG","04/2022","2750","1155172.00","420.06"
"310100","ÁGUAS VERMELHAS","MG","05/2022","2766","1138659","420.79"
"310100","ÁGUAS VERMELHAS","MG","06/2022","2762","1128168","417.99"
"310100","ÁGUAS VERMELHAS","MG","07/2022","2769","1123247.00","416.02"
"310100","ÁGUAS VERMELHAS","MG","08/2022","2977","1788367","614.77"
"310100","ÁGUAS VERMELHAS","MG","09/2022","3019","1852104.00","614.09"
"310110","AIMORÉS","MG","11/2021","2098","427681.00","203.85"
"310110","AIMORÉS","MG","12/2021","2086","845060.00","405.11"
"310110","AIMORÉS","MG","01/2022","2516","1017776","404.52"
"310110","AIMORÉS","MG","02/2022","2546","1034047.00","406.62"
"310110","AIMORÉS","MG","03/2022","2530","1028890","406.68"
"310110","AIMORÉS","MG","04/2022","2518","1024172.00","406.74"
"310110","AIMORÉS","MG","05/2022","2610","1061924","407.02"
"310110","AIMORÉS","MG","06/2022","2622","1066213","406.80"
"310110","AIMORÉS","MG","07/2022","2606","1057494.00","406.88"
"310110","AIMORÉS","MG","08/2022","2725","1649238","606.56"
"310110","AIMORÉS","MG","09/2022","2766","1676581.00","606.36"
"310120","AIURUOCA","MG","11/2021","271","47532.00","175.39"
"310120","AIURUOCA","MG","12/2021","265","106040.00","400.15"
"310120","AIURUOCA","MG","01/2022","302","120840","400.13"
"310120","AIURUOCA","MG","02/2022","310","124217.00","400.70"
"310120","AIURUOCA","MG","03/2022","309","123830","400.74"
"310120","AIURUOCA","MG","04/2022","312","125030.00","400.74"
"310120","AIURUOCA","MG","05/2022","316","126966","401.79"
"310120","AIURUOCA","MG","06/2022","314","125902","400.96"
"310120","AIURUOCA","MG","07/2022","323","129502.00","400.93"
"310120","AIURUOCA","MG","08/2022","321","192772","600.54"
"310120","AIURUOCA","MG","09/2022","327","196374.00","600.53"
"310130","ALAGOA","MG","11/2021","237","49921.00","210.64"
"310130","ALAGOA","MG","12/2021","237","95728.00","403.92"
"310130","ALAGOA","MG","01/2022","272","109834","403.80"
"310130","ALAGOA","MG","02/2022","275","111522.00","405.53"
"310130","ALAGOA","MG","03/2022","269","108952","405.03"
"310130","ALAGOA","MG","04/2022","285","115374.00","404.82"
"310130","ALAGOA","MG","05/2022","287","116178","404.80"
"310130","ALAGOA","MG","06/2022","293","118575","404.69"
"310130","ALAGOA","MG","07/2022","294","119101.00","405.11"
"310130","ALAGOA","MG","08/2022","310","187494","604.82"
"310130","ALAGOA","MG","09/2022","332","200444.00","603.75"
"310140","ALBERTINA","MG","11/2021","93","20611.00","221.62"
"310140","ALBERTINA","MG","12/2021","95","38876.00","409.22"
"310140","ALBERTINA","MG","01/2022","145","58867","405.98"
"310140","ALBERTINA","MG","02/2022","145","59137.00","407.84"
"310140","ALBERTINA","MG","03/2022","150","61137","407.58"
"310140","ALBERTINA","MG","04/2022","149","60936.00","408.97"
"310140","ALBERTINA","MG","05/2022","146","59717","409.02"
"310140","ALBERTINA","MG","06/2022","145","59137","407.84"
"310140","ALBERTINA","MG","07/2022","144","58190.00","406.92"
"310140","ALBERTINA","MG","08/2022","169","101783","605.85"
"310140","ALBERTINA","MG","09/2022","172","104162.00","605.59"
"310150","ALÉM PARAÍBA","MG","11/2021","2028","465582.00","229.58"
"310150","ALÉM PARAÍBA","MG","12/2021","2014","827179.00","410.71"
"310150","ALÉM PARAÍBA","MG","01/2022","2806","1144973","408.04"
"310150","ALÉM PARAÍBA","MG","02/2022","2932","1203585.00","410.50"
"310150","ALÉM PARAÍBA","MG","03/2022","2910","1194896","410.62"
"310150","ALÉM PARAÍBA","MG","04/2022","2900","1191635.00","410.91"
"310150","ALÉM PARAÍBA","MG","05/2022","2849","1170754","410.94"
"310150","ALÉM PARAÍBA","MG","06/2022","2822","1158760","410.62"
"310150","ALÉM PARAÍBA","MG","07/2022","2823","1156280.00","410.32"
"310150","ALÉM PARAÍBA","MG","08/2022","3306","2010090","608.93"
"310150","ALÉM PARAÍBA","MG","09/2022","3393","2065521.00","608.76"
"310160","ALFENAS","MG","11/2021","2918","563682.00","193.17"
"310160","ALFENAS","MG","12/2021","2908","1172642.00","403.25"
"310160","ALFENAS","MG","01/2022","3891","1566900","402.70"
"310160","ALFENAS","MG","02/2022","4055","1628250.00","403.63"
"310160","ALFENAS","MG","03/2022","4067","1643082","404.00"
"310160","ALFENAS","MG","04/2022","4055","1639359.00","404.28"
"310160","ALFENAS","MG","05/2022","4033","1632801","406.27"
"310160","ALFENAS","MG","06/2022","3992","1610975","404.97"
"310160","ALFENAS","MG","07/2022","3994","1603276.00","403.64"
"310160","ALFENAS","MG","08/2022","4877","2930006","603.01"
"310160","ALFENAS","MG","09/2022","5044","3041209.00","603.06"
"310163","ALFREDO VASCONCELOS","MG","11/2021","425","83579.00","196.66"
"310163","ALFREDO VASCONCELOS","MG","12/2021","422","169638.00","401.99"
"310163","ALFREDO VASCONCELOS","MG","01/2022","487","196213","402.90"
"310163","ALFREDO VASCONCELOS","MG","02/2022","497","200234.00","404.51"
"310163","ALFREDO VASCONCELOS","MG","03/2022","479","193924","404.85"
"310163","ALFREDO VASCONCELOS","MG","04/2022","482","195085.00","404.74"
"310163","ALFREDO VASCONCELOS","MG","05/2022","481","194250","404.69"
"310163","ALFREDO VASCONCELOS","MG","06/2022","479","193685","404.35"
"310163","ALFREDO VASCONCELOS","MG","07/2022","477","192841.00","404.28"
"310163","ALFREDO VASCONCELOS","MG","08/2022","489","295334","603.96"
"310163","ALFREDO VASCONCELOS","MG","09/2022","495","299082.00","604.21"
"310170","ALMENARA","MG","11/2021","5164","1147243.00","222.16"
"310170","ALMENARA","MG","12/2021","5158","2114100.00","409.87"
"310170","ALMENARA","MG","01/2022","6199","2531736","408.41"
"310170","ALMENARA","MG","02/2022","6299","2567435.00","410.79"
"310170","ALMENARA","MG","03/2022","6276","2577636","410.71"
"310170","ALMENARA","MG","04/2022","6260","2570082.00","410.62"
"310170","ALMENARA","MG","05/2022","6162","2516824","410.78"
"310170","ALMENARA","MG","06/2022","6128","2509660","410.75"
"310170","ALMENARA","MG","07/2022","6116","2493204.00","410.27"
"310170","ALMENARA","MG","08/2022","6656","4033484","609.38"
"310170","ALMENARA","MG","09/2022","6736","4097204.00","609.07"
"310180","ALPERCATA","MG","11/2021","785","185520.00","236.33"
"310180","ALPERCATA","MG","12/2021","783","320043.00","408.74"
"310180","ALPERCATA","MG","01/2022","1018","414415","407.09"
"310180","ALPERCATA","MG","02/2022","1040","425579.00","409.60"
"310180","ALPERCATA","MG","03/2022","1061","434328","409.36"
"310180","ALPERCATA","MG","04/2022","1057","432578.00","409.25"
"310180","ALPERCATA","MG","05/2022","1035","423751","409.82"
"310180","ALPERCATA","MG","06/2022","1020","418795","410.99"
"310180","ALPERCATA","MG","07/2022","1017","415705.00","409.56"
"310180","ALPERCATA","MG","08/2022","1146","696887","609.17"
"310180","ALPERCATA","MG","09/2022","1162","707085.00","608.51"
"310190","ALPINÓPOLIS","MG","11/2021","741","128828.00","173.86"
"310190","ALPINÓPOLIS","MG","12/2021","736","295055.00","400.89"
"310190","ALPINÓPOLIS","MG","01/2022","938","376027","400.88"
"310190","ALPINÓPOLIS","MG","02/2022","969","388091.00","401.34"
"310190","ALPINÓPOLIS","MG","03/2022","966","387799","401.45"
"310190","ALPINÓPOLIS","MG","04/2022","974","390964.00","401.40"
"310190","ALPINÓPOLIS","MG","05/2022","976","391511","401.14"
"310190","ALPINÓPOLIS","MG","06/2022","1003","402136","400.93"
"310190","ALPINÓPOLIS","MG","07/2022","994","397364.00","400.97"
"310190","ALPINÓPOLIS","MG","08/2022","1013","606921","600.91"
"310190","ALPINÓPOLIS","MG","09/2022","1016","610466.00","600.85"
"310200","ALTEROSA","MG","11/2021","840","216256.00","257.45"
"310200","ALTEROSA","MG","12/2021","844","346712.00","410.80"
"310200","ALTEROSA","MG","01/2022","1029","421081","409.21"
"310200","ALTEROSA","MG","02/2022","1065","432370.00","412.57"
"310200","ALTEROSA","MG","03/2022","1062","437816","412.26"
"310200","ALTEROSA","MG","04/2022","1084","448663.00","413.90"
"310200","ALTEROSA","MG","05/2022","1094","443737","410.11"
"310200","ALTEROSA","MG","06/2022","1093","444308","410.26"
"310200","ALTEROSA","MG","07/2022","1092","441399.00","408.32"
"310200","ALTEROSA","MG","08/2022","1113","671547","607.73"
"310200","ALTEROSA","MG","09/2022","1119","678482.00","606.87"
"310205","ALTO CAPARAÓ","MG","11/2021","452","91559.00","202.56"
"310205","ALTO CAPARAÓ","MG","12/2021","452","182563.00","403.90"
"310205","ALTO CAPARAÓ","MG","01/2022","602","242553","402.91"
"310205","ALTO CAPARAÓ","MG","02/2022","638","257865.00","404.18"
"310205","ALTO CAPARAÓ","MG","03/2022","667","269680","404.32"
"310205","ALTO CAPARAÓ","MG","04/2022","669","270662.00","404.58"
"310205","ALTO CAPARAÓ","MG","05/2022","662","267966","404.78"
"310205","ALTO CAPARAÓ","MG","06/2022","660","266335","403.54"
"310205","ALTO CAPARAÓ","MG","07/2022","659","265935.00","403.54"
"310205","ALTO CAPARAÓ","MG","08/2022","728","439062","603.11"
"310205","ALTO CAPARAÓ","MG","09/2022","732","441282.00","602.84"
"310210","ALTO RIO DOCE","MG","11/2021","1461","290482.00","198.82"
"310210","ALTO RIO DOCE","MG","12/2021","1450","585587.00","403.85"
"310210","ALTO RIO DOCE","MG","01/2022","1618","652594","403.33"
"310210","ALTO RIO DOCE","MG","02/2022","1630","658464.00","404.21"
"310210","ALTO RIO DOCE","MG","03/2022","1589","641670","404.07"
"310210","ALTO RIO DOCE","MG","04/2022","1608","648831.00","403.75"
"310210","ALTO RIO DOCE","MG","05/2022","1605","646753","403.46"
"310210","ALTO RIO DOCE","MG","06/2022","1606","646775","403.23"
"310210","ALTO RIO DOCE","MG","07/2022","1601","643438.00","403.16"
"310210","ALTO RIO DOCE","MG","08/2022","1599","961282","603.06"
"310210","ALTO RIO DOCE","MG","09/2022","1582","952160.00","602.63"
"310220","ALVARENGA","MG","11/2021","653","135767.00","207.91"
"310220","ALVARENGA","MG","12/2021","646","260572.00","403.36"
"310220","ALVARENGA","MG","01/2022","735","296351","403.20"
"310220","ALVARENGA","MG","02/2022","737","298569.00","405.11"
"310220","ALVARENGA","MG","03/2022","730","295829","405.25"
"310220","ALVARENGA","MG","04/2022","713","289063.00","405.42"
"310220","ALVARENGA","MG","05/2022","700","284098","405.85"
"310220","ALVARENGA","MG","06/2022","705","285899","405.53"
"310220","ALVARENGA","MG","07/2022","702","283586.00","405.12"
"310220","ALVARENGA","MG","08/2022","711","429012","605.09"
"310220","ALVARENGA","MG","09/2022","716","433128.00","604.93"
"310230","ALVINÓPOLIS","MG","11/2021","1253","258722.00","206.48"
"310230","ALVINÓPOLIS","MG","12/2021","1248","503938.00","403.80"
"310230","ALVINÓPOLIS","MG","01/2022","1385","558943","403.57"
"310230","ALVINÓPOLIS","MG","02/2022","1403","568269.00","405.04"
"310230","ALVINÓPOLIS","MG","03/2022","1381","559223","404.94"
"310230","ALVINÓPOLIS","MG","04/2022","1392","563824.00","405.05"
"310230","ALVINÓPOLIS","MG","05/2022","1421","574876","404.56"
"310230","ALVINÓPOLIS","MG","06/2022","1446","584594","404.28"
"310230","ALVINÓPOLIS","MG","07/2022","1429","575957.00","404.46"
"310230","ALVINÓPOLIS","MG","08/2022","1461","880225","604.55"
"310230","ALVINÓPOLIS","MG","09/2022","1481","895011.00","604.33"
"310240","ALVORADA DE MINAS","MG","11/2021","604","141413.00","234.13"
"310240","ALVORADA DE MINAS","MG","12/2021","601","247432.00","411.70"
"310240","ALVORADA DE MINAS","MG","01/2022","684","281138","411.02"
"310240","ALVORADA DE MINAS","MG","02/2022","694","286805.00","413.26"
"310240","ALVORADA DE MINAS","MG","03/2022","675","279104","413.49"
"310240","ALVORADA DE MINAS","MG","04/2022","679","280546.00","413.18"
"310240","ALVORADA DE MINAS","MG","05/2022","693","286386","413.26"
"310240","ALVORADA DE MINAS","MG","06/2022","704","290286","412.34"
"310240","ALVORADA DE MINAS","MG","07/2022","703","288558.00","411.64"
"310240","ALVORADA DE MINAS","MG","08/2022","721","439322","611.02"
"310240","ALVORADA DE MINAS","MG","09/2022","718","438725.00","611.04"
"310250","AMPARO DO SERRA","MG","11/2021","552","148064.00","268.23"
"310250","AMPARO DO SERRA","MG","12/2021","563","231959.00","412.01"
"310250","AMPARO DO SERRA","MG","01/2022","694","284632","410.13"
"310250","AMPARO DO SERRA","MG","02/2022","711","294278.00","413.89"
"310250","AMPARO DO SERRA","MG","03/2022","721","297947","413.24"
"310250","AMPARO DO SERRA","MG","04/2022","719","296614.00","412.54"
"310250","AMPARO DO SERRA","MG","05/2022","723","298981","413.53"
"310250","AMPARO DO SERRA","MG","06/2022","729","300821","412.65"
"310250","AMPARO DO SERRA","MG","07/2022","728","299689.00","412.23"
"310250","AMPARO DO SERRA","MG","08/2022","867","528163","609.89"
"310250","AMPARO DO SERRA","MG","09/2022","914","556903.00","609.30"
"310260","ANDRADAS","MG","11/2021","1054","182029.00","172.70"
"310260","ANDRADAS","MG","12/2021","1049","421724.00","402.02"
"310260","ANDRADAS","MG","01/2022","1337","536929","401.59"
"310260","ANDRADAS","MG","02/2022","1404","565437.00","402.73"
"310260","ANDRADAS","MG","03/2022","1353","544901","402.74"
"310260","ANDRADAS","MG","04/2022","1338","538266.00","402.29"
"310260","ANDRADAS","MG","05/2022","1386","557329","402.11"
"310260","ANDRADAS","MG","06/2022","1373","552353","402.30"
"310260","ANDRADAS","MG","07/2022","1367","548392.00","402.34"
"310260","ANDRADAS","MG","08/2022","1496","898268","602.06"
"310260","ANDRADAS","MG","09/2022","1531","921585.00","601.95"
"310270","CACHOEIRA DE PAJEÚ","MG","11/2021","1613","416684.00","258.33"
"310270","CACHOEIRA DE PAJEÚ","MG","12/2021","1610","666631.00","414.06"
"310270","CACHOEIRA DE PAJEÚ","MG","01/2022","1943","800039","411.75"
"310270","CACHOEIRA DE PAJEÚ","MG","02/2022","1989","825545.00","415.06"
"310270","CACHOEIRA DE PAJEÚ","MG","03/2022","2028","840294","414.35"
"310270","CACHOEIRA DE PAJEÚ","MG","04/2022","2020","837979.00","414.84"
"310270","CACHOEIRA DE PAJEÚ","MG","05/2022","2017","833803","413.39"
"310270","CACHOEIRA DE PAJEÚ","MG","06/2022","2001","825284","412.44"
"310270","CACHOEIRA DE PAJEÚ","MG","07/2022","1995","819386.00","411.96"
"310270","CACHOEIRA DE PAJEÚ","MG","08/2022","2251","1370332","610.39"
"310270","CACHOEIRA DE PAJEÚ","MG","09/2022","2278","1388637.00","609.59"
"310280","ANDRELÂNDIA","MG","11/2021","1103","202545.00","183.63"
"310280","ANDRELÂNDIA","MG","12/2021","1104","444163.00","402.32"
"310280","ANDRELÂNDIA","MG","01/2022","1468","589849","401.80"
"310280","ANDRELÂNDIA","MG","02/2022","1521","612474.00","402.68"
"310280","ANDRELÂNDIA","MG","03/2022","1520","612242","403.06"
"310280","ANDRELÂNDIA","MG","04/2022","1522","614037.00","403.71"
"310280","ANDRELÂNDIA","MG","05/2022","1519","617144","406.55"
"310280","ANDRELÂNDIA","MG","06/2022","1519","614487","404.80"
"310280","ANDRELÂNDIA","MG","07/2022","1518","609597.00","403.44"
"310280","ANDRELÂNDIA","MG","08/2022","1790","1075530","603.21"
"310280","ANDRELÂNDIA","MG","09/2022","1871","1125934.00","602.75"
"310285","ANGELÂNDIA","MG","11/2021","1058","284047.00","268.48"
"310285","ANGELÂNDIA","MG","12/2021","1060","443365.00","418.27"
"310285","ANGELÂNDIA","MG","01/2022","1161","483674","416.60"
"310285","ANGELÂNDIA","MG","02/2022","1160","489120.00","421.66"
"310285","ANGELÂNDIA","MG","03/2022","1167","493969","423.28"
"310285","ANGELÂNDIA","MG","04/2022","1176","496397.00","422.11"
"310285","ANGELÂNDIA","MG","05/2022","1178","496253","421.27"
"310285","ANGELÂNDIA","MG","06/2022","1184","497618","420.29"
"310285","ANGELÂNDIA","MG","07/2022","1174","491572.00","419.79"
"310285","ANGELÂNDIA","MG","08/2022","1204","742770","618.46"
"310285","ANGELÂNDIA","MG","09/2022","1182","730695.00","618.19"
"310290","ANTÔNIO CARLOS","MG","11/2021","650","126580.00","194.74"
"310290","ANTÔNIO CARLOS","MG","12/2021","649","262520.00","404.50"
"310290","ANTÔNIO CARLOS","MG","01/2022","864","349933","405.02"
"310290","ANTÔNIO CARLOS","MG","02/2022","901","366385.00","406.64"
"310290","ANTÔNIO CARLOS","MG","03/2022","903","367966","407.49"
"310290","ANTÔNIO CARLOS","MG","04/2022","925","377113.00","407.69"
"310290","ANTÔNIO CARLOS","MG","05/2022","963","392560","407.64"
"310290","ANTÔNIO CARLOS","MG","06/2022","988","402259","407.14"
"310290","ANTÔNIO CARLOS","MG","07/2022","988","401024.00","407.13"
"310290","ANTÔNIO CARLOS","MG","08/2022","1051","636022","606.89"
"310290","ANTÔNIO CARLOS","MG","09/2022","1115","676031.00","606.31"
"310300","ANTÔNIO DIAS","MG","11/2021","828","173523.00","209.57"
"310300","ANTÔNIO DIAS","MG","12/2021","825","335751.00","406.97"
"310300","ANTÔNIO DIAS","MG","01/2022","975","396244","406.40"
"310300","ANTÔNIO DIAS","MG","02/2022","998","407083.00","407.90"
"310300","ANTÔNIO DIAS","MG","03/2022","912","372581","408.53"
"310300","ANTÔNIO DIAS","MG","04/2022","927","381263.00","411.73"
"310300","ANTÔNIO DIAS","MG","05/2022","942","385905","410.54"
"310300","ANTÔNIO DIAS","MG","06/2022","937","380093","406.52"
"310300","ANTÔNIO DIAS","MG","07/2022","942","381383.00","405.73"
"310300","ANTÔNIO DIAS","MG","08/2022","957","578769","606.04"
"310300","ANTÔNIO DIAS","MG","09/2022","967","584498.00","605.70"
"310310","ANTÔNIO PRADO DE MINAS","MG","11/2021","121","22105.00","182.69"
"310310","ANTÔNIO PRADO DE MINAS","MG","12/2021","119","47881.00","402.36"
"310310","ANTÔNIO PRADO DE MINAS","MG","01/2022","145","58281","401.94"
"310310","ANTÔNIO PRADO DE MINAS","MG","02/2022","154","62036.00","402.83"
"310310","ANTÔNIO PRADO DE MINAS","MG","03/2022","155","62587","403.79"
"310310","ANTÔNIO PRADO DE MINAS","MG","04/2022","150","60363.00","402.42"
"310310","ANTÔNIO PRADO DE MINAS","MG","05/2022","147","59164","402.48"
"310310","ANTÔNIO PRADO DE MINAS","MG","06/2022","149","59980","402.55"
"310310","ANTÔNIO PRADO DE MINAS","MG","07/2022","146","58780.00","402.60"
"310310","ANTÔNIO PRADO DE MINAS","MG","08/2022","149","89780","602.55"
"310310","ANTÔNIO PRADO DE MINAS","MG","09/2022","151","91079.00","603.17"
"310320","ARAÇAÍ","MG","11/2021","180","47980.00","266.56"
"310320","ARAÇAÍ","MG","12/2021","181","74794.00","413.23"
"310320","ARAÇAÍ","MG","01/2022","242","99267","410.19"
"310320","ARAÇAÍ","MG","02/2022","244","101081.00","414.27"
"310320","ARAÇAÍ","MG","03/2022","232","96282","415.01"
"310320","ARAÇAÍ","MG","04/2022","230","95334.00","414.50"
"310320","ARAÇAÍ","MG","05/2022","228","94482","414.39"
"310320","ARAÇAÍ","MG","06/2022","225","93255","414.47"
"310320","ARAÇAÍ","MG","07/2022","224","92642.00","413.58"
"310320","ARAÇAÍ","MG","08/2022","231","141707","613.45"
"310320","ARAÇAÍ","MG","09/2022","236","144461.00","612.12"
"310330","ARACITABA","MG","11/2021","145","23355.00","161.07"
"310330","ARACITABA","MG","12/2021","143","57207.00","400.05"
"310330","ARACITABA","MG","01/2022","166","66405","400.03"
"310330","ARACITABA","MG","02/2022","170","68065.00","400.38"
"310330","ARACITABA","MG","03/2022","167","66865","400.39"
"310330","ARACITABA","MG","04/2022","168","67265.00","400.39"
"310330","ARACITABA","MG","05/2022","166","66465","400.39"
"310330","ARACITABA","MG","06/2022","173","69265","400.38"
"310330","ARACITABA","MG","07/2022","172","68465.00","400.38"
"310330","ARACITABA","MG","08/2022","174","103866","600.38"
"310330","ARACITABA","MG","09/2022","173","103866.00","600.38"
"310340","ARAÇUAÍ","MG","11/2021","3698","736363.00","199.12"
"310340","ARAÇUAÍ","MG","12/2021","3694","1490996.00","403.63"
"310340","ARAÇUAÍ","MG","01/2022","4259","1717422","403.25"
"310340","ARAÇUAÍ","MG","02/2022","4345","1749685.00","404.83"
"310340","ARAÇUAÍ","MG","03/2022","4186","1695259","405.08"
